都道府県,ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude,時期区分
東京都,130555,,比丘尼橋遺跡,A地点,ハードローム層上層,35.75777778,139.5997222,1
東京都,130556,,比丘尼橋遺跡,A地点,ハードローム層中層,35.75777778,139.5997222,1
東京都,130557,,比丘尼橋遺跡,A地点,ハードローム層下層,35.75777778,139.5997222,1
東京都,130558,,比丘尼橋遺跡,B地点,Ⅹ～Ⅸ層下部,35.7575,139.5991667,0
東京都,130559,,比丘尼橋遺跡,B地点,Ⅸ層中部,35.7575,139.5991667,1
東京都,130560,,比丘尼橋遺跡,B地点,Ⅸ層上部～Ⅶ層下部,35.7575,139.5991667,0
東京都,130561,,比丘尼橋遺跡,B地点,Ⅳ層,35.7575,139.5991667,1
東京都,130562,,比丘尼橋遺跡,外環道練馬F地区,第Ⅴ層文化層,35.75722222,139.5994444,1
東京都,130563,,比丘尼橋遺跡,外環道練馬F地区,第Ⅳ層下部文化層,35.75722222,139.5994444,1
東京都,130564,,比丘尼橋遺跡,外環道練馬F地区,第Ⅳ層上部文化層,35.75722222,139.5994444,1
東京都,130565,,比丘尼橋遺跡,外環道練馬F地区,第Ⅲ層文化層,35.75722222,139.5994444,1
東京都,130566,,もみじ山遺跡,外環道練馬B地区,第Ⅹ層上部文化層,35.76722222,139.6005556,0
東京都,130567,,もみじ山遺跡,外環道練馬B地区,第Ⅸ層下部文化層,35.76722222,139.6005556,1
東京都,130568,,もみじ山遺跡,外環道練馬B地区,第Ⅶ層下部文化層,35.76722222,139.6005556,1
東京都,130569,,もみじ山遺跡,外環道練馬B地区,第Ⅴ層文化層,35.76722222,139.6005556,1
東京都,130570,,もみじ山遺跡,外環道練馬B地区,第Ⅳ層文化層,35.76722222,139.6005556,1
東京都,130571,,もみじ山遺跡,外環道練馬B地区,第Ⅲ層下部文化層,35.76722222,139.6005556,3
東京都,130572,,もみじ山遺跡,外環道練馬B地区,第Ⅲ層中部文化層,35.76722222,139.6005556,1
東京都,130573,,もみじ山遺跡,外環道練馬B地区,第Ⅲ層上部文化層,35.76722222,139.6005556,1
東京都,130574,,もみじ山遺跡,外環道練馬B地区,竪穴状遺構1,35.76722222,139.6005556,0
東京都,130575,,もみじ山遺跡,外環道練馬B地区,遺構外,35.76722222,139.6005556,2
東京都,130576,,丸山東遺跡,外環道練馬C・D地区,第Ⅹ層,35.76333333,139.5994444,1
東京都,130577,,丸山東遺跡,外環道練馬C・D地区,第Ⅶ層文化層,35.76333333,139.5994444,0
東京都,130578,,丸山東遺跡,外環道練馬C・D地区,第Ⅴ層文化層,35.76333333,139.5994444,1
東京都,130579,,丸山東遺跡,外環道練馬C・D地区,第Ⅳ層文化層,35.76333333,139.5994444,1
東京都,130580,,丸山東遺跡,外環道練馬C・D地区,第Ⅲ層文化層,35.76333333,139.5994444,2
東京都,130581,,丸山東遺跡,外環道練馬D地区-1,第Ⅲ層文化,35.7625,139.5991667,1
東京都,130582,,丸山東遺跡,外環道練馬D地区-2,第Ⅵ層文化層,35.76111111,139.5988889,0
東京都,130583,,丸山東遺跡,外環道練馬D地区-2,第Ⅲ層文化層,35.76111111,139.5988889,3
東京都,130584,,丸山東遺跡,外環道練馬C・D地区,遺構外,35.76333333,139.5994444,4
東京都,130585,,愛宕下遺跡,外環道練馬E地区,第Ⅴ層文化層,35.75916667,139.5988889,1
東京都,130586,,愛宕下遺跡,外環道練馬E地区,第Ⅳ層文化層,35.75916667,139.5988889,1
東京都,130587,,愛宕下遺跡,外環道練馬E地区,第Ⅲ層文化層,35.75916667,139.5988889,1
東京都,130588,,宮ヶ谷戸遺跡,外環道練馬G地区西側台地西側台地,第Ⅶ層文化層,35.76055556,139.5966667,0
