"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13228006705,13228,"67-5","せとおかこふんぐん5ごうふん","瀬戸岡古墳群5号墳","あきる野市 瀬戸岡",139.2857557,35.73908133,0,0,0,1,0,0,0,0,0
13228006706,13228,"67-6","せとおかこふんぐん6ごうふん","瀬戸岡古墳群6号墳","あきる野市 瀬戸岡",139.2856824,35.73884032,0,0,0,1,0,0,0,0,0
13228006707,13228,"67-7","せとおかこふんぐん7ごうふん","瀬戸岡古墳群7号墳","あきる野市 瀬戸岡",139.2856567,35.73842928,0,0,0,1,0,0,0,0,0
13228006708,13228,"67-8","せとおかこふんぐん8ごうふん","瀬戸岡古墳群8号墳","あきる野市 瀬戸岡",139.2861459,35.73822724,0,0,0,1,0,0,0,0,0
13228006709,13228,"67-9","せとおかこふんぐん9ごうふん","瀬戸岡古墳群9号墳","あきる野市 瀬戸岡",139.2859743,35.73799037,0,0,0,1,0,0,0,0,0
13228006710,13228,"67-10","せとおかこふんぐん10ごうふん","瀬戸岡古墳群10号墳","あきる野市 瀬戸岡",139.2873561,35.73978083,0,0,0,1,0,0,0,0,0
13228006711,13228,"67-11","せとおかこふんぐん11ごうふん","瀬戸岡古墳群11号墳","あきる野市 瀬戸岡",139.2875621,35.73998287,0,0,0,1,0,0,0,0,0
13228006712,13228,"67-12","せとおかこふんぐん12ごうふん","瀬戸岡古墳群12号墳","あきる野市 瀬戸岡",139.2875793,35.7401222,0,0,0,1,0,0,0,0,0
13228006713,13228,"67-13","せとおかこふんぐん13ごうふん","瀬戸岡古墳群13号墳","あきる野市 瀬戸岡",139.2877595,35.74015703,0,0,0,1,0,0,0,0,0
13228006714,13228,"67-14","せとおかこふんぐん14ごうふん","瀬戸岡古墳群14号墳","あきる野市 瀬戸岡",139.2881801,35.7402267,0,0,0,1,0,0,0,0,0
13228006715,13228,"67-15","せとおかこふんぐん15ごうふん","瀬戸岡古墳群15号墳","あきる野市 瀬戸岡",139.2883518,35.7401849,0,0,0,1,0,0,0,0,0
13228006716,13228,"67-16","せとおかこふんぐん16ごうふん","瀬戸岡古墳群16号墳","あきる野市 瀬戸岡",139.288429,35.7402894,0,0,0,1,0,0,0,0,0
13228006717,13228,"67-17","せとおかこふんぐん17ごうふん","瀬戸岡古墳群17号墳","あきる野市 瀬戸岡",139.2885578,35.74024063,0,0,0,1,0,0,0,0,0
13228006718,13228,"67-18","せとおかこふんぐん18ごうふん","瀬戸岡古墳群18号墳","あきる野市 瀬戸岡",139.2880771,35.7399968,0,0,0,1,0,0,0,0,0
13228006719,13228,"67-19","せとおかこふんぐん19ごうふん","瀬戸岡古墳群19号墳","あきる野市 瀬戸岡",139.2882917,35.74006646,0,0,0,1,0,0,0,0,0
13228006720,13228,"67-20","せとおかこふんぐん20ごうふん","瀬戸岡古墳群20号墳","あきる野市 瀬戸岡",139.28795,35.73986225,0,0,0,1,0,0,0,0,0
